id_venta,fecha_venta,id_cliente,nombre_cliente,email_cliente,id_cafe,nombre_cafe,origen_cafe,proceso_cafe,nivel_tueste,id_zona,nombre_zona,canal_venta,formato_paquete,precio_unitario,cantidad,valoracion,comentario_valoracion,total_venta
1001,2026-02-07,101,Aitana Suarez,aitana@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,1,Oviedo,tienda,250g,10.5,2,5,Muy equilibrado,21.0
1001,2026-02-07,101,Aitana Suarez,aitana@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,1,Oviedo,tienda,250g,12.0,1,5,Aromatico,12.0
1002,2026-02-07,102,Bruno Mendez,bruno@tostador.local,3,Brasil Cerrado,Brasil,Natural,Medio,2,Gijon,online,500g,18.0,1,4,Buen cuerpo,18.0
1003,2026-02-14,103,Carla Mier,carla@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,3,Aviles,tienda,250g,12.0,2,5,Top para filtro,24.0
1004,2026-02-14,104,Diego Alvarez,diego@tostador.local,4,Guatemala Antigua,Guatemala,Honey,Medio-Oscuro,4,Nava,online,1kg,30.0,1,4,Muy versatil,30.0
1005,2026-02-21,105,Elena Ruiz,elena@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,5,Villaviciosa,tienda,500g,19.5,1,5,Mi favorito,19.5
1005,2026-02-21,105,Elena Ruiz,elena@tostador.local,5,Peru Cajamarca,Peru,Lavado,Claro,5,Villaviciosa,tienda,250g,11.8,1,4,Suave y dulce,11.8
1006,2026-02-21,106,Fabian Torre,fabian@tostador.local,6,Kenia Nyeri,Kenia,Lavado,Claro,6,Pola de Lena,online,250g,13.2,2,4,Acidez brillante,26.4
1007,2026-02-28,107,Gabriela Coto,gabriela@tostador.local,3,Brasil Cerrado,Brasil,Natural,Medio,1,Oviedo,tienda,250g,9.8,3,3,Correcto,29.4
1008,2026-02-28,108,Hector Solares,hector@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,2,Gijon,online,500g,22.5,1,5,Muy floral,22.5
1009,2026-03-07,109,Iria Pravia,iria@tostador.local,5,Peru Cajamarca,Peru,Lavado,Claro,4,Nava,tienda,500g,20.0,1,4,Dulce,20.0
1010,2026-03-07,110,Jorge Cifuentes,jorge@tostador.local,4,Guatemala Antigua,Guatemala,Honey,Medio-Oscuro,5,Villaviciosa,online,250g,11.5,2,4,Chocolate,23.0
1011,2026-03-14,101,Aitana Suarez,aitana@tostador.local,6,Kenia Nyeri,Kenia,Lavado,Claro,1,Oviedo,online,500g,24.0,1,5,Espectacular en V60,24.0
1012,2026-03-14,103,Carla Mier,carla@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,3,Aviles,tienda,250g,10.5,2,5,Nunca falla,21.0
1012,2026-03-14,103,Carla Mier,carla@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,3,Aviles,tienda,250g,12.0,1,5,Aromatico,12.0
1013,2026-03-21,108,Hector Solares,hector@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,2,Gijon,online,250g,12.0,2,5,Muy floral,24.0
1014,2026-03-21,110,Jorge Cifuentes,jorge@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,5,Villaviciosa,tienda,500g,19.5,1,5,Muy equilibrado,19.5
2001,2026-02-14,101,Aitana Suarez,aitana@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,1,Oviedo,online,1kg,10.81,3,5,Muy equilibrado,32.43
3001,2026-02-21,101,Aitana Suarez,aitana@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,1,Oviedo,tienda,250g,11.13,2,5,Muy equilibrado,22.26
4001,2026-02-28,101,Aitana Suarez,aitana@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,1,Oviedo,online,500g,10.5,3,5,Muy equilibrado,31.5
5001,2026-03-07,101,Aitana Suarez,aitana@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,1,Oviedo,tienda,1kg,10.81,2,5,Muy equilibrado,21.62
6001,2026-03-14,101,Aitana Suarez,aitana@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,1,Oviedo,online,250g,11.13,3,5,Muy equilibrado,33.39
7001,2026-03-21,101,Aitana Suarez,aitana@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,1,Oviedo,tienda,500g,10.5,2,5,Muy equilibrado,21.0
2001,2026-02-14,101,Aitana Suarez,aitana@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,1,Oviedo,online,250g,12.36,2,5,Aromatico,24.72
3001,2026-02-21,101,Aitana Suarez,aitana@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,1,Oviedo,tienda,500g,12.72,1,5,Aromatico,12.72
4001,2026-02-28,101,Aitana Suarez,aitana@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,1,Oviedo,online,1kg,12.0,2,5,Aromatico,24.0
5001,2026-03-07,101,Aitana Suarez,aitana@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,1,Oviedo,tienda,250g,12.36,1,5,Aromatico,12.36
6001,2026-03-14,101,Aitana Suarez,aitana@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,1,Oviedo,online,500g,12.72,2,5,Aromatico,25.44
7001,2026-03-21,101,Aitana Suarez,aitana@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,1,Oviedo,tienda,1kg,12.0,1,5,Aromatico,12.0
2002,2026-02-14,102,Bruno Mendez,bruno@tostador.local,3,Brasil Cerrado,Brasil,Natural,Medio,2,Gijon,tienda,500g,18.54,2,5,Buen cuerpo,37.08
3002,2026-02-21,102,Bruno Mendez,bruno@tostador.local,3,Brasil Cerrado,Brasil,Natural,Medio,2,Gijon,online,1kg,19.08,1,4,Buen cuerpo,19.08
4002,2026-02-28,102,Bruno Mendez,bruno@tostador.local,3,Brasil Cerrado,Brasil,Natural,Medio,2,Gijon,tienda,250g,18.0,2,5,Buen cuerpo,36.0
5002,2026-03-07,102,Bruno Mendez,bruno@tostador.local,3,Brasil Cerrado,Brasil,Natural,Medio,2,Gijon,online,500g,18.54,1,4,Buen cuerpo,18.54
6002,2026-03-14,102,Bruno Mendez,bruno@tostador.local,3,Brasil Cerrado,Brasil,Natural,Medio,2,Gijon,tienda,1kg,19.08,2,5,Buen cuerpo,38.16
7002,2026-03-21,102,Bruno Mendez,bruno@tostador.local,3,Brasil Cerrado,Brasil,Natural,Medio,2,Gijon,online,250g,18.0,1,4,Buen cuerpo,18.0
2003,2026-02-21,103,Carla Mier,carla@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,3,Aviles,online,250g,12.36,3,5,Top para filtro,37.08
3003,2026-02-28,103,Carla Mier,carla@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,3,Aviles,tienda,500g,12.72,2,5,Top para filtro,25.44
4003,2026-03-07,103,Carla Mier,carla@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,3,Aviles,online,1kg,12.0,3,5,Top para filtro,36.0
5003,2026-03-14,103,Carla Mier,carla@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,3,Aviles,tienda,250g,12.36,2,5,Top para filtro,24.72
6003,2026-03-21,103,Carla Mier,carla@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,3,Aviles,online,500g,12.72,3,5,Top para filtro,38.16
7003,2026-03-28,103,Carla Mier,carla@tostador.local,2,Etiopia Yirgacheffe,Etiopia,Lavado,Claro,3,Aviles,tienda,1kg,12.0,2,5,Top para filtro,24.0
2004,2026-02-21,104,Diego Alvarez,diego@tostador.local,4,Guatemala Antigua,Guatemala,Honey,Medio-Oscuro,4,Nava,tienda,1kg,30.9,2,5,Muy versatil,61.8
3004,2026-02-28,104,Diego Alvarez,diego@tostador.local,4,Guatemala Antigua,Guatemala,Honey,Medio-Oscuro,4,Nava,online,250g,31.8,1,4,Muy versatil,31.8
4004,2026-03-07,104,Diego Alvarez,diego@tostador.local,4,Guatemala Antigua,Guatemala,Honey,Medio-Oscuro,4,Nava,tienda,500g,30.0,2,5,Muy versatil,60.0
5004,2026-03-14,104,Diego Alvarez,diego@tostador.local,4,Guatemala Antigua,Guatemala,Honey,Medio-Oscuro,4,Nava,online,1kg,30.9,1,4,Muy versatil,30.9
6004,2026-03-21,104,Diego Alvarez,diego@tostador.local,4,Guatemala Antigua,Guatemala,Honey,Medio-Oscuro,4,Nava,tienda,250g,31.8,2,5,Muy versatil,63.6
7004,2026-03-28,104,Diego Alvarez,diego@tostador.local,4,Guatemala Antigua,Guatemala,Honey,Medio-Oscuro,4,Nava,online,500g,30.0,1,4,Muy versatil,30.0
2005,2026-02-28,105,Elena Ruiz,elena@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,5,Villaviciosa,online,1kg,20.09,2,5,Mi favorito,40.18
3005,2026-03-07,105,Elena Ruiz,elena@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,5,Villaviciosa,tienda,250g,20.67,1,5,Mi favorito,20.67
4005,2026-03-14,105,Elena Ruiz,elena@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,5,Villaviciosa,online,500g,19.5,2,5,Mi favorito,39.0
5005,2026-03-21,105,Elena Ruiz,elena@tostador.local,1,Colombia Huila,Colombia,Lavado,Medio,5,Villaviciosa,tienda,1kg,20.09,1,5,Mi favorito,20.09
